Name;Minutes Played;Fouls Committed;Fouls Suffered;Yellow Cards;Red Cards;Team
Aleksandar Dragovi?;66;4;0;2;1;Austria
Lorik Cana;48;2;1;2;1;Albania
Burim Kukeli;168;4;1;2;0;Albania
Alfred Finnbogason;39;3;3;2;0;Iceland
Juraj Kucka;285;7;10;1;0;Slovakia
Marcelo Brozovi?;192;6;2;1;0;Croatia
David Limberský;188;6;2;1;0;Czech Republic
Birkir Bjarnason;189;5;2;1;0;Iceland
Tamás Kádár;191;5;4;1;0;Hungary
Andrei Prepeli??;137;5;4;1;0;Romania
Granit Xhaka;277;5;4;1;0;Switzerland
Krzysztof M?czy?ski;152;4;1;1;0;Poland
Amir Abrashi;288;4;9;1;0;Albania
Yevhen Konoplyanka;190;4;5;1;0;Ukraine
James McCarthy;146;4;0;1;0;Republic of Ireland
Éder;169;4;1;1;0;Italy
Cenk Tosun;70;4;1;1;0;Turkey
Ozan Tufan;190;4;3;1;0;Turkey
Drago? Grigore;283;4;4;1;0;Romania
László Kleinheisler;175;4;7;1;0;Hungary
Valon Behrami;277;4;8;1;0;Switzerland
Christian Fuchs;189;4;1;1;0;Austria
Ján ?urica;285;4;2;1;0;Slovakia
Burak Y?lmaz;123;4;2;1;0;Turkey
Cristian S?punaru;283;4;4;1;0;Romania
Martin Harnik;171;4;4;1;0;Austria
N'Golo Kanté;193;4;0;1;0;France
Mesut Özil;187;3;3;1;0;Germany
Milan Badelj;192;3;2;1;0;Croatia
Pepe;187;3;3;1;0;Portugal
Craig Cathcart;190;3;1;1;0;Northern Ireland
Vladimír Weiss;233;3;1;1;0;Slovakia
Viktor Pe?ovský;161;3;0;1;0;Slovakia
Martin Škrtel;285;3;3;1;0;Slovakia
Daniele De Rossi;152;3;3;1;0;Italy
Giorgio Chiellini;188;3;7;1;0;Italy
Tomáš Sivok;188;3;1;1;0;Czech Republic
Thiago Motta;35;3;0;1;0;Italy
Sergio Ramos;186;3;1;1;0;Spain
Claudiu Ke?erü;90;3;2;1;0;Romania
Olivier Giroud;173;3;2;1;0;France
Breel Embolo;132;3;6;1;0;Switzerland
Bartosz Kapustka;100;3;1;1;0;Poland
Patrik Hrošovský;60;3;0;1;0;Slovakia
Volkan ?en;50;3;1;1;0;Turkey
Adil Rami;286;3;4;1;0;France
Serhiy Sydorchuk;169;3;1;1;0;Ukraine
Jeff Hendrick;187;2;2;1;0;Republic of Ireland
Johann Gudmundsson;185;2;0;1;0;Iceland
Stuart Dallas;145;2;1;1;0;Northern Ireland
Georgi Schennikov;187;2;0;1;0;Russia
Domagoj Vida;192;2;4;1;0;Croatia
Ádám Nagy;191;2;1;1;0;Hungary
Adrian Popa;152;2;0;1;0;Romania
Fabian Schär;277;2;2;1;0;Switzerland
Alessandro Schöpf;47;2;2;1;0;Austria
Martin Hinteregger;189;2;1;1;0;Austria
