date;match;team;team_;score;score_; possession ; possession_ 
21/06/2016;Northern Ireland vs Germany;Northern Ireland;Germany;0;1; 29 ; 71 
13/06/2016;Spain vs Czech Republic;Spain;Czech Republic;1;0; 67 ; 33 
18/06/2016;Iceland vs Hungary;Iceland;Hungary;1;1; 33 ; 67 
14/06/2016;Portugal vs Iceland;Portugal;Iceland;1;1; 66 ; 34 
16/06/2016;Ukraine vs Northern Ireland;Ukraine;Northern Ireland;0;2; 66 ; 34 
16/06/2016;England vs Wales;England;Wales;2;1; 64 ; 36 
21/06/2016;Ukraine vs Poland;Ukraine;Poland;0;1; 64 ; 36 
12/06/2016;Germany vs Ukraine;Germany;Ukraine;2;0; 63 ; 37 
16/06/2016;Germany vs Poland;Germany;Poland;0;0; 63 ; 37 
22/06/2016;Iceland vs Austria;Iceland;Austria;2;1; 37 ; 63 
27/06/2016;England vs Iceland;England;Iceland;1;2; 63 ; 37 
15/06/2016;Russia vs Slovakia;Russia;Slovakia;1;2; 62 ; 38 
15/06/2016;Romania vs Switzerland;Romania;Switzerland;1;1; 38 ; 62 
12/06/2016;Poland vs Northern Ireland;Poland;Northern Ireland;1;0; 60 ; 40 
21/06/2016;Croatia vs Spain;Croatia;Spain;2;1; 40 ; 60 
26/06/2016;France vs Republic of Ireland;France;Republic of Ireland;2;1; 60 ; 40 
10/06/2016;France vs Romania;France;Romania;2;1; 59 ; 41 
15/06/2016;France vs Albania;France;Albania;2;0; 59 ; 41 
18/06/2016;Portugal vs Austria;Portugal;Austria;0;0; 59 ; 41 
19/06/2016;Romania vs Albania;Romania;Albania;0;1; 59 ; 41 
25/06/2016;Croatia vs Portugal;Croatia;Portugal;0;1; 59 ; 41 
26/06/2016;Germany vs Slovakia;Germany;Slovakia;3;0; 59 ; 41 
27/06/2016;Italy vs Spain;Italy;Spain;2;0; 41 ; 59 
19/06/2016;Switzerland vs France;Switzerland;France;0;0; 58 ; 42 
22/06/2016;Hungary vs Portugal;Hungary;Portugal;3;3; 42 ; 58 
17/06/2016;Spain vs Turkey;Spain;Turkey;3;0; 57 ; 43 
20/06/2016;Slovakia vs England;Slovakia;England;0;0; 43 ; 57 
11/06/2016;Wales vs Slovakia;Wales;Slovakia;2;1; 44 ; 56 
13/06/2016;Belgium vs Italy;Belgium;Italy;0;2; 56 ; 44 
17/06/2016;Czech Republic vs Croatia;Czech Republic;Croatia;2;2; 44 ; 56 
11/06/2016;Albania vs Switzerland;Albania;Switzerland;0;1; 45 ; 55 
25/06/2016;Switzerland vs Poland;Switzerland;Poland;1;1; 55 ; 45 
25/06/2016;Wales vs Northern Ireland;Wales;Northern Ireland;1;0; 55 ; 45 
26/06/2016;Hungary vs Belgium;Hungary;Belgium;0;4; 55 ; 45 
18/06/2016;Belgium vs Republic of Ireland;Belgium;Republic of Ireland;3;0; 54 ; 46 
22/06/2016;Italy vs Republic of Ireland;Italy;Republic of Ireland;0;1; 54 ; 46 
13/06/2016;Republic of Ireland vs Sweden;Republic of Ireland;Sweden;1;1; 47 ; 53 
17/06/2016;Italy vs Sweden;Italy;Sweden;1;0; 47 ; 53 
11/06/2016;England vs Russia;England;Russia;1;1; 52 ; 48 
20/06/2016;Russia vs Wales;Russia;Wales;0;3; 48 ; 52 
12/06/2016;Turkey vs Croatia;Turkey;Croatia;0;1; 51 ; 49 
21/06/2016;Czech Republic vs Turkey;Czech Republic;Turkey;0;2; 51 ; 49 
14/06/2016;Austria vs Hungary;Austria;Hungary;0;2; 50 ; 50 
22/06/2016;Sweden vs Belgium;Sweden;Belgium;0;1; 50 ; 50 
